usage,evdev,xkb,win,mac,name,id
0x000000,0x0000,0x0000,0x0000,0xffff,NULL,NONE
0x000010,0x0000,0x0000,0x0000,0xffff,"""Hyper""",HYPER
0x000011,0x0000,0x0000,0x0000,0xffff,"""Super""",SUPER
0x000012,0x0000,0x0000,0x0000,0xffff,"""Fn""",FN
0x000013,0x0000,0x0000,0x0000,0xffff,"""FnLock""",FN_LOCK
0x000014,0x0000,0x0000,0x0000,0xffff,"""Suspend""",SUSPEND
0x000015,0x0000,0x0000,0x0000,0xffff,"""Resume""",RESUME
0x000016,0x0000,0x0000,0x0000,0xffff,"""Turbo""",TURBO
0x000017,0x0279,0x0281,0x0000,0xffff,"""PrivacyScreenToggle""",PRIVACY_SCREEN_TOGGLE
0x000018,0x00f8,0x0100,0x0000,0xffff,"""MicrophoneMuteToggle""",MICROPHONE_MUTE_TOGGLE
0x000019,0x00e4,0x00ec,0x0000,0xffff,"""KeyboardBacklightToggle""",KEYBOARD_BACKLIGHT_TOGGLE
0x010082,0x008e,0x0096,0xe05f,0xffff,"""Sleep""",SLEEP
0x010083,0x008f,0x0097,0xe063,0xffff,"""WakeUp""",WAKE_UP
0x0100b5,0x00e3,0x00eb,0x0000,0xffff,"""DisplayToggleIntExt""",DISPLAY_TOGGLE_INT_EXT
0x070000,0x0000,0x0000,0x0000,0xffff,NULL,USB_RESERVED
0x070001,0x0000,0x0000,0x00ff,0xffff,NULL,USB_ERROR_ROLL_OVER
0x070002,0x0000,0x0000,0x00fc,0xffff,NULL,USB_POST_FAIL
0x070003,0x0000,0x0000,0x0000,0xffff,NULL,USB_ERROR_UNDEFINED
0x070004,0x001e,0x0026,0x001e,0x0000,"""KeyA""",US_A
0x070005,0x0030,0x0038,0x0030,0x000b,"""KeyB""",US_B
0x070006,0x002e,0x0036,0x002e,0x0008,"""KeyC""",US_C
0x070007,0x0020,0x0028,0x0020,0x0002,"""KeyD""",US_D
0x070008,0x0012,0x001a,0x0012,0x000e,"""KeyE""",US_E
0x070009,0x0021,0x0029,0x0021,0x0003,"""KeyF""",US_F
0x07000a,0x0022,0x002a,0x0022,0x0005,"""KeyG""",US_G
0x07000b,0x0023,0x002b,0x0023,0x0004,"""KeyH""",US_H
0x07000c,0x0017,0x001f,0x0017,0x0022,"""KeyI""",US_I
0x07000d,0x0024,0x002c,0x0024,0x0026,"""KeyJ""",US_J
0x07000e,0x0025,0x002d,0x0025,0x0028,"""KeyK""",US_K
0x07000f,0x0026,0x002e,0x0026,0x0025,"""KeyL""",US_L
0x070010,0x0032,0x003a,0x0032,0x002e,"""KeyM""",US_M
0x070011,0x0031,0x0039,0x0031,0x002d,"""KeyN""",US_N
0x070012,0x0018,0x0020,0x0018,0x001f,"""KeyO""",US_O
0x070013,0x0019,0x0021,0x0019,0x0023,"""KeyP""",US_P
0x070014,0x0010,0x0018,0x0010,0x000c,"""KeyQ""",US_Q
0x070015,0x0013,0x001b,0x0013,0x000f,"""KeyR""",US_R
0x070016,0x001f,0x0027,0x001f,0x0001,"""KeyS""",US_S
0x070017,0x0014,0x001c,0x0014,0x0011,"""KeyT""",US_T
0x070018,0x0016,0x001e,0x0016,0x0020,"""KeyU""",US_U
0x070019,0x002f,0x0037,0x002f,0x0009,"""KeyV""",US_V
0x07001a,0x0011,0x0019,0x0011,0x000d,"""KeyW""",US_W
0x07001b,0x002d,0x0035,0x002d,0x0007,"""KeyX""",US_X
0x07001c,0x0015,0x001d,0x0015,0x0010,"""KeyY""",US_Y
0x07001d,0x002c,0x0034,0x002c,0x0006,"""KeyZ""",US_Z
0x07001e,0x0002,0x000a,0x0002,0x0012,"""Digit1""",DIGIT1
