Usage ID,Usage Name,Usage Type,AT-101,PC-AT,Mac,Unix,Boot
00,Reserved (no event indicated)1,Sel,N/A,3,3,3,4/101/104
01,Keyboard ErrorRollOver1,Sel,N/A,3,3,3,4/101/104
02,Keyboard POSTFail1,Sel,N/A,3,3,3,4/101/104
03,Keyboard ErrorUndefined1,Sel,N/A,3,3,3,4/101/104
04,Keyboard a and A2,Sel,31,3,3,3,4/101/104
05,Keyboard b and B,Sel,50,3,3,3,4/101/104
06,Keyboard c and C2,Sel,48,3,3,3,4/101/104
07,Keyboard d and D,Sel,33,3,3,3,4/101/104
08,Keyboard e and E,Sel,19,3,3,3,4/101/104
09,Keyboard f and F,Sel,34,3,3,3,4/101/104
0A,Keyboard g and G,Sel,35,3,3,3,4/101/104
0B,Keyboard h and H,Sel,36,3,3,3,4/101/104
0C,Keyboard i and I,Sel,24,3,3,3,4/101/104
0D,Keyboard j and J,Sel,37,3,3,3,4/101/104
0E,Keyboard k and K,Sel,38,3,3,3,4/101/104
0F,Keyboard l and L,Sel,39,3,3,3,4/101/104
10,Keyboard m and M2,Sel,52,3,3,3,4/101/104
11,Keyboard n and N,Sel,51,3,3,3,4/101/104
12,Keyboard o and O2,Sel,25,3,3,3,4/101/104
13,Keyboard p and P2,Sel,26,3,3,3,4/101/104
14,Keyboard q and Q2,Sel,17,3,3,3,4/101/104
15,Keyboard r and R,Sel,20,3,3,3,4/101/104
16,Keyboard s and S,Sel,32,3,3,3,4/101/104
17,Keyboard t and T,Sel,21,3,3,3,4/101/104
18,Keyboard u and U,Sel,23,3,3,3,4/101/104
19,Keyboard v and V,Sel,49,3,3,3,4/101/104
1A,Keyboard w and W2,Sel,18,3,3,3,4/101/104
1B,Keyboard x and X2,Sel,47,3,3,3,4/101/104
1C,Keyboard y and Y2,Sel,22,3,3,3,4/101/104
1D,Keyboard z and Z2,Sel,46,3,3,3,4/101/104
1E,Keyboard 1 and !2,Sel,2,3,3,3,4/101/104
1F,Keyboard 2 and @2,Sel,3,3,3,3,4/101/104
20,Keyboard 3 and #2,Sel,4,3,3,3,4/101/104
21,Keyboard 4 and $2,Sel,5,3,3,3,4/101/104
22,Keyboard 5 and %2,Sel,6,3,3,3,4/101/104
23,Keyboard 6 and ∧2,Sel,7,3,3,3,4/101/104
24,Keyboard 7 and &2,Sel,8,3,3,3,4/101/104
25,Keyboard 8 and *2,Sel,9,3,3,3,4/101/104
26,Keyboard 9 and (2,Sel,10,3,3,3,4/101/104
27,Keyboard 0 and )2,Sel,11,3,3,3,4/101/104
28,Keyboard Return (ENTER)3,Sel,43,3,3,3,4/101/104
29,Keyboard ESCAPE,Sel,110,3,3,3,4/101/104
2A,Keyboard DELETE (Backspace)4,Sel,15,3,3,3,4/101/104
2B,Keyboard Tab,Sel,16,3,3,3,4/101/104
2C,Keyboard Spacebar,Sel,61,3,3,3,4/101/104
2D,Keyboard - and (underscore)2,Sel,12,3,3,3,4/101/104
2E,Keyboard = and +2,Sel,13,3,3,3,4/101/104
2F,Keyboard [ and {2,Sel,27,3,3,3,4/101/104
30,Keyboard ] and }2,Sel,28,3,3,3,4/101/104
31,Keyboard \and |,Sel,29,3,3,3,4/101/104
32,Keyboard Non-US # and  ̃5,Sel,42,3,3,3,4/101/104
33,Keyboard ; and :2,Sel,40,3,3,3,4/101/104
34,Keyboard ‘ and “2,Sel,41,3,3,3,4/101/104
35,Keyboard Grave Accent and Tilde2,Sel,1,3,3,3,4/101/104
36,"Keyboard , and <2",Sel,53,3,3,3,4/101/104
37,Keyboard . and >2,Sel,54,3,3,3,4/101/104
38,Keyboard / and ?2,Sel,55,3,3,3,4/101/104
39,Keyboard Caps Lock6,Sel,30,3,3,3,4/101/104
3A,Keyboard F1,Sel,112,3,3,3,4/101/104
3B,Keyboard F2,Sel,113,3,3,3,4/101/104
3C,Keyboard F3,Sel,114,3,3,3,4/101/104
3D,Keyboard F4,Sel,115,3,3,3,4/101/104
3E,Keyboard F5,Sel,116,3,3,3,4/101/104
3F,Keyboard F6,Sel,117,3,3,3,4/101/104
40,Keyboard F7,Sel,118,3,3,3,4/101/104
41,Keyboard F8,Sel,119,3,3,3,4/101/104
42,Keyboard F9,Sel,120,3,3,3,4/101/104
43,Keyboard F10,Sel,121,3,3,3,4/101/104
44,Keyboard F11,Sel,122,3,3,3,4/101/104
45,Keyboard F12,Sel,123,3,3,3,4/101/104
46,Keyboard PrintScreen7,Sel,124,3,3,3,4/101/104
47,Keyboard Scroll Lock6,Sel,125,3,3,3,4/101/104
48,Keyboard Pause7,Sel,126,3,3,3,4/101/104
49,Keyboard Insert7,Sel,75,3,3,3,4/101/104
4A,Keyboard Home7,Sel,80,3,3,3,4/101/104
4B,Keyboard PageUp7,Sel,85,3,3,3,4/101/104
4C,"Keyboard Delete Forward7,8",Sel,76,3,3,3,4/101/104
4D,Keyboard End7,Sel,81,3,3,3,4/101/104
4E,Keyboard PageDown7,Sel,86,3,3,3,4/101/104
4F,Keyboard RightArrow7,Sel,89,3,3,3,4/101/104
50,Keyboard LeftArrow7,Sel,79,3,3,3,4/101/104
51,Keyboard DownArrow7,Sel,84,3,3,3,4/101/104
52,Keyboard UpArrow7,Sel,83,3,3,3,4/101/104
53,Keypad Num Lock and Clear6,Sel,90,3,3,3,4/101/104
54,Keypad /7,Sel,95,3,3,3,4/101/104
55,Keypad *,Sel,100,3,3,3,4/101/104
56,Keypad -,Sel,105,3,3,3,4/101/104
57,Keypad +,Sel,106,3,3,3,4/101/104
58,Keypad ENTER3,Sel,108,3,3,3,4/101/104
59,Keypad 1 and End,Sel,93,3,3,3,4/101/104
5A,Keypad 2 and Down Arrow,Sel,98,3,3,3,4/101/104
5B,Keypad 3 and PageDn,Sel,103,3,3,3,4/101/104
5C,Keypad 4 and Left Arrow,Sel,92,3,3,3,4/101/104
5D,Keypad 5,Sel,97,3,3,3,4/101/104
5E,Keypad 6 and Right Arrow,Sel,102,3,3,3,4/101/104
5F,Keypad 7 and Home,Sel,91,3,3,3,4/101/104
60,Keypad 8 and Up Arrow,Sel,96,3,3,3,4/101/104
61,Keypad 9 and PageUp,Sel,101,3,3,3,4/101/104
62,Keypad 0 and Insert,Sel,99,3,3,3,4/101/104
63,Keypad . and Delete,Sel,104,3,3,3,4/101/104
64,"Keyboard Non-US \and |9,10",Sel,45,3,3,3,4/101/104
65,Keyboard Application11,Sel,129,3,,3,104
66,Keyboard Power1,Sel,,,3,3,
67,Keypad =,Sel,,,3,,
68,Keyboard F13,Sel,,,3,,
69,Keyboard F14,Sel,,,3,,
6A,Keyboard F15,Sel,,,3,,
6B,Keyboard F16,Sel,,,,,
6C,Keyboard F17,Sel,,,,,
6D,Keyboard F18,Sel,,,,,
6E,Keyboard F19,Sel,,,,,
6F,Keyboard F20,Sel,,,,,
70,Keyboard F21,Sel,,,,,
71,Keyboard F22,Sel,,,,,
